VAGA,LOCALIDADE,ODGSA,OM
1,FORTALEZA,DCTA,BAFZ
2,FORTALEZA,DCTA,NUITA-FZ
3,BRASÍLIA,COMPREP,BABR
4,BRASÍLIA,CENCIAR,CENCIAR
5,BRASÍLIA,COMAE,COMAE
6,BRASÍLIA,COMAE,COMAE
7,BRASÍLIA,COMAE,COMAE
8,BRASÍLIA,COMAE,COMAE
9,BRASÍLIA,COMAE,COMAE
10,BRASÍLIA,COMGEP,COMGEP
11,BRASÍLIA,COMGEP,COMGEP
12,BRASÍLIA,DCTA,COPAC
13,BRASÍLIA,COMGEP,DIRENS
14,BRASÍLIA,EMAER,EMAER
15,BRASÍLIA,EMAER,EMAER
16,BRASÍLIA,SEFA,GAP-BR
17,BRASÍLIA,SEFA,GAP-DF
18,BRASÍLIA,SEFA,GAP-DF
19,BRASÍLIA,INCAER,INCAER-DF
20,BRASÍLIA,SEFA,SEFA
21,BRASÍLIA,COMGEP,SEREP-BR
22,BRASÍLIA,COMGEP,SEREP-BR
23,BRASÍLIA,COMGEP,SEREP-BR
24,BRASÍLIA,COMGEP,SEREP-BR
25,BRASÍLIA,COMGEP,SEREP-BR
26,ANÁPOLIS,COMPREP,BAAN
27,ALCÂNTARA,DCTA,CLA
28,ALCÂNTARA,DCTA,CLA
29,ALCÂNTARA,DCTA,CLA
30,BARBACENA,COMGEP,EPCAR
31,LAGOA SANTA,COMGEP,CIAAR
32,LAGOA SANTA,COMGEP,CIAAR
33,CAMPO GRANDE,COMPREP,BACG
34,BELÉM,COMPREP,BABE
35,BELÉM,SEFA,GAP-BE
36,RECIFE,SEFA,GAP-RF
37,RIO DE JANEIRO,COMPREP,BAGL
38,RIO DE JANEIRO,COMPREP,BASC
39,RIO DE JANEIRO,COMPREP,BASC
40,RIO DE JANEIRO,COMPREP,BASC
41,RIO DE JANEIRO,COMGEP,BREVET
42,RIO DE JANEIRO,SEFA,CAE
43,RIO DE JANEIRO,COMGEP,CENDOC
44,RIO DE JANEIRO,COMGEP,UNIFA
45,RIO DE JANEIRO,SEFA,GAP-AF
46,RIO DE JANEIRO,SEFA,GAP-RJ
47,RIO DE JANEIRO,COMPREP,GSAU-SC
48,RIO DE JANEIRO,COMPREP,III COMAR
49,RIO DE JANEIRO,COMGEP,IPA
50,RIO DE JANEIRO,SEFA,PAAF
51,RIO DE JANEIRO,SEFA,PAGL
52,RIO DE JANEIRO,COMGAP,PAMB RJ
53,PARNAMIRIM,COMPREP,BANT
54,PARNAMIRIM,COMPREP,BANT
55,PARNAMIRIM,DCTA,CLBI
56,FLORIANÓPOLIS,DECEA,BAFL
57,GUARATINGUETÁ,COMGEP,EEAR
58,GUARATINGUETÁ,COMGEP,EEAR
59,GUARATINGUETÁ,COMGEP,PAGW
60,GUARULHOS,COMGAP,ILA
61,PIRASSUNUNGA,COMGEP,AFA
62,SÃO JOSÉ DOS CAMPOS,DCTA,CPORAER SJ
63,SÃO JOSÉ DOS CAMPOS,DCTA,DCTA
64,SÃO JOSÉ DOS CAMPOS,DECEA,ICEA
65,SÃO JOSÉ DOS CAMPOS,DCTA,IEAV
66,SÃO PAULO,COMGAP,CECAT
67,SÃO PAULO,COMGAP,COMGAP
68,SÃO PAULO,COMGAP,COMGAP
69,SÃO PAULO,COMGAP,COMGAP
70,SÃO PAULO,COMGAP,DIRMAB
71,SÃO PAULO,SEFA,GAP-SP
72,SÃO PAULO,COMPREP,IV COMAR
73,SÃO PAULO,COMGAP,PAMA-SP
